Category: All categories

Week,R: (Worldwide),Python: (Worldwide),Java: (Worldwide)
2017-12-24,11,36,48
2017-12-31,12,36,53
2018-01-07,14,46,64
2018-01-14,14,48,68
2018-01-21,15,46,67
2018-01-28,16,53,68
2018-02-04,16,51,69
2018-02-11,16,49,66
2018-02-18,16,49,69
2018-02-25,15,50,63
2018-03-04,16,51,68
2018-03-11,16,52,66
2018-03-18,16,51,71
2018-03-25,16,51,66
2018-04-01,16,48,65
2018-04-08,16,52,67
2018-04-15,17,53,68
2018-04-22,17,52,67
2018-04-29,16,46,57
2018-05-06,16,48,63
2018-05-13,16,49,68
2018-05-20,15,49,64
2018-05-27,15,50,61
2018-06-03,15,50,62
2018-06-10,15,49,61
2018-06-17,15,51,59
2018-06-24,15,48,57
2018-07-01,13,45,55
2018-07-08,14,49,59
2018-07-15,14,49,59
2018-07-22,15,50,60
2018-07-29,14,51,60
2018-08-05,13,47,59
2018-08-12,14,47,56
2018-08-19,14,52,59
2018-08-26,14,48,60
2018-09-02,14,50,63
2018-09-09,15,54,60
2018-09-16,15,54,65
2018-09-23,15,55,64
2018-09-30,15,55,62
2018-10-07,16,56,66
2018-10-14,15,58,60
2018-10-21,16,60,67
2018-10-28,15,56,62
2018-11-04,15,54,55
2018-11-11,15,61,60
2018-11-18,14,52,59
2018-11-25,15,54,61
2018-12-02,16,55,63
2018-12-09,14,53,62
2018-12-16,12,49,53
2018-12-23,10,35,39
2018-12-30,11,37,40
2019-01-06,13,52,56
2019-01-13,14,51,57
2019-01-20,14,53,57
2019-01-27,15,54,60
2019-02-03,15,55,58
2019-02-10,15,57,59
2019-02-17,16,60,58
2019-02-24,15,58,59
2019-03-03,15,57,59
2019-03-10,15,57,60
2019-03-17,15,57,57
2019-03-24,15,59,58
2019-03-31,15,59,59
2019-04-07,15,60,59
2019-04-14,15,53,54
2019-04-21,15,55,60
2019-04-28,14,50,47
2019-05-05,14,57,54
2019-05-12,14,56,58
2019-05-19,14,59,59
2019-05-26,13,56,54
2019-06-02,14,58,54
2019-06-09,14,58,55
2019-06-16,13,61,58
2019-06-23,13,61,56
2019-06-30,13,56,55
2019-07-07,14,59,56
2019-07-14,13,60,56
2019-07-21,12,57,55
2019-07-28,12,56,52
2019-08-04,12,58,52
2019-08-11,12,56,51
2019-08-18,13,61,57
2019-08-25,14,57,56
2019-09-01,13,61,56
2019-09-08,14,67,60
2019-09-15,15,66,61
2019-09-22,14,68,62
2019-09-29,14,65,59
2019-10-06,15,65,57
2019-10-13,14,67,59
2019-10-20,14,66,55
2019-10-27,13,61,52
2019-11-03,14,64,57
2019-11-10,14,66,58
2019-11-17,14,65,59
2019-11-24,13,58,54
2019-12-01,13,63,56
2019-12-08,13,62,55
2019-12-15,12,57,50
2019-12-22,9,42,37
2019-12-29,9,42,37
2020-01-05,12,59,50
2020-01-12,12,60,51
2020-01-19,12,61,51
2020-01-26,13,64,55
2020-02-02,13,64,57
2020-02-09,13,69,56
2020-02-16,14,68,57
2020-02-23,14,67,55
2020-03-01,13,65,53
2020-03-08,13,61,52
2020-03-15,12,59,48
2020-03-22,12,59,46
2020-03-29,13,64,49
2020-04-05,13,65,48
2020-04-12,13,64,49
2020-04-19,14,68,51
2020-04-26,13,64,47
2020-05-03,13,66,47
2020-05-10,13,62,48
2020-05-17,13,64,47
2020-05-24,13,64,47
2020-05-31,13,66,46
2020-06-07,13,63,45
2020-06-14,12,63,47
2020-06-21,13,64,47
2020-06-28,12,60,46
2020-07-05,12,68,46
2020-07-12,12,63,47
2020-07-19,12,64,46
2020-07-26,12,63,44
2020-08-02,12,60,45
2020-08-09,11,55,42
2020-08-16,12,60,44
2020-08-23,12,60,46
2020-08-30,12,61,45
2020-09-06,13,66,48
2020-09-13,13,63,47
2020-09-20,13,65,48
2020-09-27,12,56,44
2020-10-04,13,61,45
2020-10-11,12,54,43
2020-10-18,12,52,43
2020-10-25,12,52,39
2020-11-01,10,47,38
2020-11-08,12,54,40
2020-11-15,12,54,42
2020-11-22,11,52,38
2020-11-29,12,51,39
2020-12-06,11,52,40
2020-12-13,11,50,38
2020-12-20,9,42,31
2020-12-27,9,38,28
2021-01-03,10,47,35
2021-01-10,10,49,37
2021-01-17,10,51,40
2021-01-24,11,50,42
2021-01-31,11,55,40
2021-02-07,11,52,39
2021-02-14,11,51,41
2021-02-21,11,53,40
2021-02-28,12,55,41
2021-03-07,11,56,41
2021-03-14,11,57,40
2021-03-21,11,57,42
2021-03-28,11,52,38
2021-04-04,11,54,40
2021-04-11,12,55,40
2021-04-18,11,58,41
2021-04-25,11,54,41
2021-05-02,11,51,40
2021-05-09,11,50,40
